RPS,Fail,Goodput,Latency95,Latency99
10.0,0.0,10.0,13.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,13.0,0
10.0,0.0,10.0,13.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,16.0,0
10.0,0.0,10.0,16.0,0
10.0,0.0,10.0,14.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,9.0,0
10.0,0.0,10.0,9.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,15.0,0
10.0,0.0,10.0,15.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,14.0,0
10.0,0.0,10.0,14.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,9.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,13.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,9.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,20.0,0
10.0,0.0,10.0,13.0,0
10.0,0.0,10.0,14.0,0
10.0,0.0,10.0,14.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,17.0,0
10.0,0.0,10.0,17.0,0
10.0,0.0,10.0,16.0,0
10.0,0.0,10.0,18.0,0
10.0,0.0,10.0,18.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,15.0,0
10.0,0.0,10.0,15.0,0
10.0,0.0,10.0,15.0,0
10.0,0.0,10.0,15.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,9.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,13.0,0
10.0,0.0,10.0,13.0,0
10.0,0.0,10.0,9.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,17.0,0
10.0,0.0,10.0,17.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,15.0,0
10.0,0.0,10.0,14.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,14.0,0
10.0,0.0,10.0,14.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,9.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,24.0,0
10.0,0.0,10.0,24.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,9.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,14.0,0
10.0,0.0,10.0,14.0,0
10.0,0.0,10.0,13.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,14.0,0
10.0,0.0,10.0,14.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,13.0,0
10.0,0.0,10.0,13.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,41.0,0
10.0,0.0,10.0,41.0,0
10.0,0.0,10.0,9.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,13.0,0
10.0,0.0,10.0,14.0,0
10.0,0.0,10.0,14.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,15.0,0
10.0,0.0,10.0,15.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,14.0,0
10.0,0.0,10.0,14.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,30.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,15.0,0
10.0,0.0,10.0,15.0,0
10.0,0.0,10.0,14.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,24.0,0
10.0,0.0,10.0,24.0,0
10.0,0.0,10.0,14.0,0
10.0,0.0,10.0,13.0,0
10.0,0.0,10.0,13.0,0
10.0,0.0,10.0,13.0,0
10.0,0.0,10.0,13.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,15.0,0
10.0,0.0,10.0,19.0,0
10.0,0.0,10.0,19.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,13.0,0
10.0,0.0,10.0,13.0,0
10.0,0.0,10.0,15.0,0
10.0,0.0,10.0,15.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,16.0,0
10.0,0.0,10.0,16.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,18.0,0
10.0,0.0,10.0,18.0,0
10.0,0.0,10.0,13.0,0
10.0,0.0,10.0,13.0,0
10.0,0.0,10.0,13.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,18.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,13.0,0
10.0,0.0,10.0,13.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,14.0,0
10.0,0.0,10.0,14.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,8.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,15.0,0
10.0,0.0,10.0,15.0,0
10.0,0.0,10.0,17.0,0
10.0,0.0,10.0,17.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,9.0,0
10.0,0.0,10.0,9.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,9.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,13.0,0
10.0,0.0,10.0,13.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,14.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,13.0,0
10.0,0.0,10.0,13.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,13.0,0
10.0,0.0,10.0,13.0,0
10.0,0.0,10.0,14.0,0
10.0,0.0,10.0,14.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,9.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,14.0,0
10.0,0.0,10.0,14.0,0
10.0,0.0,10.0,15.0,0
10.0,0.0,10.0,16.0,0
10.0,0.0,10.0,16.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,9.0,0
10.0,0.0,10.0,16.0,0
10.0,0.0,10.0,13.0,0
10.0,0.0,10.0,13.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,16.0,0
10.0,0.0,10.0,16.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,8.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,14.0,0
10.0,0.0,10.0,14.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,13.0,0
10.0,0.0,10.0,13.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,12.0,0
10.0,0.0,10.0,9.0,0
10.0,0.0,10.0,13.0,0
10.0,0.0,10.0,15.0,0
10.0,0.0,10.0,15.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,13.0,0
10.0,0.0,10.0,8.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,11.0,0
10.0,0.0,10.0,13.0,0
10.0,0.0,10.0,13.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,10.0,0
10.0,0.0,10.0,10.0,0
